task,doc_id,dataset_family,w_auto,w_aug
mmlu_logical_fallacies,68,mmlu_humanities,6.931208,5.362770
mmlu_professional_law,843,mmlu_humanities,5.786043,5.977940
mathqa,2172,math,6.372900,4.142700
mmlu_college_medicine,172,mmlu_other,8.004445,5.848733
hellaswag,7019,pretrain,5.635842,6.714025
mmlu_high_school_psychology,183,mmlu_social,6.952195,5.848733
arc_challenge,1116,reasoning,6.942270,5.481740
mmlu_high_school_european_history,129,mmlu_humanities,6.543628,6.489600
mmlu_machine_learning,27,mmlu_stem,7.011285,6.635225
mmlu_professional_law,1083,mmlu_humanities,6.296335,6.003957
mathqa,2199,math,5.959600,5.004083
commonsense_qa,13,reasoning,8.859108,6.252573
mmlu_college_physics,1,mmlu_stem,6.138438,5.948515
hellaswag,7428,pretrain,7.104450,6.876025
mmlu_high_school_psychology,400,mmlu_social,7.655595,6.599953
mmlu_machine_learning,54,mmlu_stem,7.714685,6.537758
mmlu_high_school_european_history,132,mmlu_humanities,8.017795,6.179800
mmlu_professional_law,1244,mmlu_humanities,6.468543,6.002770
mathqa,2209,math,6.600400,5.137417
mmlu_conceptual_physics,17,mmlu_stem,7.714685,5.111550
commonsense_qa,54,reasoning,5.181512,6.939025
hellaswag,7517,pretrain,6.169928,6.401765
mmlu_high_school_psychology,401,mmlu_social,7.096575,5.823100
mmlu_machine_learning,57,mmlu_stem,7.714685,5.835225
mmlu_high_school_european_history,152,mmlu_humanities,6.490228,6.062090
mmlu_professional_law,1252,mmlu_humanities,5.786043,6.002770
hellaswag,3593,pretrain,7.459135,6.685340
hellaswag,1489,pretrain,6.162270,6.530125
commonsense_qa,326,reasoning,6.040425,6.781315
mmlu_management,40,mmlu_other,7.316048,4.524007
hellaswag,7527,pretrain,5.962495,6.511100
mmlu_professional_law,1271,mmlu_humanities,5.613835,5.977940
commonsense_qa,407,reasoning,6.052025,6.507483
mmlu_medical_genetics,30,mmlu_stem,7.776945,6.764087
hellaswag,3598,pretrain,8.238445,6.744217
hellaswag,7573,pretrain,6.544158,6.804000
hellaswag,1519,pretrain,5.962495,6.662200
mmlu_professional_medicine,38,mmlu_other,6.549318,6.417650
